Age,AgeGroup,Department,JobRole,Gender,MaritalStatus,OverTime,MonthlyIncome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,YearsAtCompany,YearsSinceLastPromotion,TotalWorkingYears,JobLevel,BusinessTravel,Attrition,AttritionBinary,Cluster,ClusterLabel
36,36-45,Sales,Sales Executive,Male,Married,No,9699,4,1,3,2,13,1,16,3,Travel_Frequently,No,0,1,Loyal Mid-Career
57,56-65,Research & Development,Healthcare Representative,Male,Married,No,6755,3,4,3,3,3,1,15,2,Travel_Rarely,No,0,1,Loyal Mid-Career
40,36-45,Research & Development,Laboratory Technician,Female,Married,Yes,2213,3,4,3,4,7,1,10,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
21,18-25,Sales,Sales Representative,Male,Single,No,2610,4,1,2,3,3,2,3,1,Non-Travel,No,0,3,At-Risk Mid-Level
33,26-35,Sales,Sales Representative,Female,Single,Yes,2851,3,4,3,3,1,0,1,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
37,36-45,Research & Development,Laboratory Technician,Female,Married,No,3452,1,3,3,3,5,0,17,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
46,46-55,Research & Development,Manufacturing Director,Female,Married,No,5258,3,3,4,3,1,0,7,2,Non-Travel,No,0,1,Loyal Mid-Career
41,36-45,Sales,Sales Executive,Male,Single,No,9355,2,1,3,3,8,7,8,2,Travel_Frequently,Yes,1,1,Loyal Mid-Career
50,46-55,Research & Development,Healthcare Representative,Male,Single,No,10496,4,4,3,2,4,1,20,3,Travel_Rarely,No,0,1,Loyal Mid-Career
40,36-45,Sales,Sales Executive,Male,Married,Yes,6380,3,3,3,2,6,1,8,2,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
31,26-35,Research & Development,Research Scientist,Male,Single,Yes,2657,2,3,3,2,2,2,3,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
21,18-25,Sales,Sales Representative,Female,Single,No,2716,2,3,3,4,1,0,1,1,Travel_Rarely,Yes,1,3,At-Risk Mid-Level
29,26-35,Research & Development,Research Scientist,Male,Single,No,2201,4,4,3,3,3,1,6,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
35,26-35,Research & Development,Healthcare Representative,Male,Single,No,6540,2,3,3,2,1,0,10,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
27,26-35,Research & Development,Laboratory Technician,Male,Divorced,No,3816,2,4,3,3,5,0,5,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
28,26-35,Sales,Sales Executive,Male,Single,No,5253,4,2,3,3,7,0,7,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
49,46-55,Research & Development,Healthcare Representative,Male,Single,No,10965,3,2,3,2,5,0,26,3,Travel_Rarely,No,0,1,Loyal Mid-Career
51,46-55,Sales,Sales Executive,Female,Married,No,4936,4,3,2,3,7,0,18,2,Travel_Rarely,No,0,1,Loyal Mid-Career
36,36-45,Research & Development,Research Scientist,Female,Married,No,2543,3,4,3,3,2,2,6,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
34,26-35,Sales,Sales Executive,Male,Single,Yes,5304,4,1,2,4,5,0,9,2,Non-Travel,Yes,1,2,Burnt-Out & Overworked
55,46-55,Research & Development,Manager,Female,Single,Yes,16659,4,3,3,3,5,1,30,4,Travel_Rarely,No,0,0,Stable Senior
24,18-25,Sales,Sales Executive,Female,Divorced,Yes,4260,3,4,4,3,5,0,5,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
30,26-35,Sales,Sales Representative,Male,Married,No,2476,2,3,3,3,1,0,1,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
26,26-35,Research & Development,Research Scientist,Male,Single,No,3102,1,3,3,3,6,0,7,1,Travel_Frequently,Yes,1,3,At-Risk Mid-Level
22,18-25,Research & Development,Research Scientist,Female,Married,No,2244,2,1,3,3,2,1,2,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
36,36-45,Sales,Sales Executive,Male,Married,No,7596,3,2,3,2,10,9,10,3,Travel_Rarely,No,0,1,Loyal Mid-Career
30,26-35,Research & Development,Research Scientist,Male,Single,Yes,2285,4,3,3,3,1,0,3,1,Travel_Frequently,Yes,1,2,Burnt-Out & Overworked
37,36-45,Research & Development,Laboratory Technician,Female,Divorced,No,3034,1,4,2,3,18,12,18,1,Travel_Rarely,No,0,1,Loyal Mid-Career
40,36-45,Sales,Sales Executive,Female,Divorced,No,5715,2,4,3,3,5,1,8,2,Travel_Rarely,No,0,1,Loyal Mid-Career
42,36-45,Research & Development,Laboratory Technician,Female,Divorced,No,2576,1,2,3,3,5,1,8,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
37,36-45,Research & Development,Manufacturing Director,Male,Single,Yes,4197,2,3,2,3,1,0,18,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
43,36-45,Research & Development,Research Director,Male,Divorced,No,14336,2,1,3,2,25,3,25,4,Travel_Rarely,No,0,0,Stable Senior
40,36-45,Research & Development,Laboratory Technician,Female,Married,No,3448,3,2,3,2,1,0,20,2,Travel_Rarely,No,0,1,Loyal Mid-Career
54,46-55,Research & Development,Research Director,Male,Married,No,19406,1,1,2,3,4,1,24,5,Travel_Rarely,No,0,0,Stable Senior
34,26-35,Sales,Sales Executive,Female,Married,No,6538,3,3,3,3,3,1,6,2,Non-Travel,No,0,3,At-Risk Mid-Level
31,26-35,Research & Development,Manufacturing Director,Female,Married,No,4306,1,2,1,3,13,3,13,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
43,36-45,Research & Development,Laboratory Technician,Male,Married,No,2258,4,4,3,3,3,1,8,1,Travel_Frequently,No,0,3,At-Risk Mid-Level
43,36-45,Research & Development,Healthcare Representative,Female,Divorced,Yes,4522,3,3,3,3,5,0,8,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
25,18-25,Sales,Sales Executive,Female,Single,Yes,4487,4,2,3,2,5,1,5,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
37,36-45,Research & Development,Research Scientist,Female,Married,Yes,4449,3,2,3,3,13,10,15,2,Non-Travel,No,0,2,Burnt-Out & Overworked
31,26-35,Research & Development,Laboratory Technician,Male,Married,No,2218,1,4,3,2,4,3,4,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
39,36-45,Research & Development,Manager,Male,Divorced,Yes,19197,3,2,3,3,21,1,21,5,Travel_Frequently,No,0,0,Stable Senior
56,56-65,Sales,Sales Executive,Female,Married,No,13212,1,3,2,4,7,7,36,4,Travel_Frequently,No,0,0,Stable Senior
30,26-35,Sales,Sales Executive,Female,Single,No,6577,3,2,3,3,5,4,6,2,Travel_Rarely,No,0,1,Loyal Mid-Career
41,36-45,Sales,Sales Executive,Male,Married,No,8392,1,2,3,4,10,0,10,3,Travel_Rarely,No,0,1,Loyal Mid-Career
28,26-35,Research & Development,Laboratory Technician,Male,Divorced,No,4558,1,3,3,3,10,1,10,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
25,18-25,Research & Development,Laboratory Technician,Male,Married,No,4031,1,1,3,3,2,0,6,1,Travel_Rarely,Yes,1,3,At-Risk Mid-Level
52,46-55,Research & Development,Manufacturing Director,Male,Married,Yes,7969,3,4,3,2,5,0,28,3,Travel_Rarely,No,0,2,Burnt-Out & Overworked
45,36-45,Research & Development,Research Scientist,Male,Married,No,2654,4,1,2,3,2,0,8,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
52,46-55,Research & Development,Manager,Female,Married,No,16555,4,4,1,3,5,1,31,4,Travel_Rarely,No,0,0,Stable Senior
42,36-45,Research & Development,Research Scientist,Female,Divorced,No,4556,3,1,3,3,5,0,19,2,Travel_Frequently,No,0,1,Loyal Mid-Career
30,26-35,Research & Development,Manufacturing Director,Female,Single,No,6091,4,3,3,1,5,0,11,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
60,56-65,Research & Development,Manager,Female,Married,No,19566,1,1,1,3,29,11,33,5,Travel_Rarely,No,0,0,Stable Senior
46,46-55,Research & Development,Manufacturing Director,Female,Divorced,No,4810,3,3,2,3,10,0,19,2,Travel_Rarely,No,0,1,Loyal Mid-Career
42,36-45,Research & Development,Healthcare Representative,Female,Married,No,4523,4,4,4,2,6,0,7,2,Travel_Frequently,No,0,1,Loyal Mid-Career
24,18-25,Sales,Sales Representative,Female,Single,Yes,3202,2,1,3,3,5,1,6,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
34,26-35,Sales,Sales Representative,Female,Divorced,No,2351,3,4,2,1,2,1,3,1,Travel_Frequently,Yes,1,3,At-Risk Mid-Level
38,36-45,Research & Development,Laboratory Technician,Male,Married,Yes,1702,4,4,3,3,1,0,1,1,Travel_Frequently,No,0,2,Burnt-Out & Overworked
40,36-45,Sales,Manager,Female,Married,No,18041,3,3,3,3,20,1,21,5,Travel_Rarely,No,0,0,Stable Senior
26,26-35,Research & Development,Research Scientist,Female,Divorced,No,2886,4,1,1,3,3,0,3,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
30,26-35,Research & Development,Laboratory Technician,Male,Married,No,2097,4,3,1,3,5,1,9,1,Non-Travel,No,0,3,At-Risk Mid-Level
29,26-35,Research & Development,Research Director,Male,Married,No,11935,3,2,3,2,10,0,10,3,Travel_Rarely,No,0,1,Loyal Mid-Career
29,26-35,Research & Development,Research Scientist,Female,Married,No,2546,2,3,4,2,2,1,6,1,Travel_Rarely,Yes,1,3,At-Risk Mid-Level
19,18-25,Human Resources,Human Resources,Male,Single,No,2564,4,1,4,2,1,0,1,1,Travel_Rarely,Yes,1,3,At-Risk Mid-Level
30,26-35,Sales,Sales Executive,Female,Married,No,8412,1,3,3,3,9,7,10,3,Non-Travel,No,0,1,Loyal Mid-Career
57,56-65,Sales,Manager,Male,Divorced,No,14118,4,1,2,2,1,0,32,4,Travel_Rarely,No,0,0,Stable Senior
50,46-55,Research & Development,Manager,Male,Married,No,17046,3,2,3,2,27,15,28,4,Travel_Rarely,No,0,0,Stable Senior
30,26-35,Research & Development,Laboratory Technician,Female,Single,No,2564,4,3,2,3,11,6,12,1,Non-Travel,No,0,1,Loyal Mid-Career
60,56-65,Sales,Sales Executive,Female,Married,No,10266,1,3,4,2,18,13,22,3,Travel_Frequently,No,0,0,Stable Senior
47,46-55,Research & Development,Manufacturing Director,Female,Divorced,No,5070,4,1,3,3,5,0,20,2,Travel_Rarely,No,0,1,Loyal Mid-Career
46,46-55,Research & Development,Research Director,Male,Married,No,17861,3,1,1,3,3,0,26,4,Travel_Rarely,No,0,0,Stable Senior
35,26-35,Research & Development,Laboratory Technician,Male,Single,No,4230,3,4,3,1,5,4,6,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
54,46-55,Research & Development,Laboratory Technician,Female,Single,No,3780,3,3,3,3,1,0,19,2,Travel_Rarely,No,0,1,Loyal Mid-Career
34,26-35,Research & Development,Research Scientist,Male,Divorced,No,2768,3,4,3,2,7,5,14,1,Travel_Rarely,No,0,1,Loyal Mid-Career
46,46-55,Sales,Sales Executive,Female,Married,Yes,9071,4,3,3,2,3,1,15,3,Travel_Rarely,No,0,2,Burnt-Out & Overworked
31,26-35,Research & Development,Manufacturing Director,Male,Divorced,No,10648,2,3,4,3,13,0,13,3,Travel_Rarely,No,0,1,Loyal Mid-Career
33,26-35,Research & Development,Manager,Male,Married,Yes,13610,3,2,4,3,7,7,15,3,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
33,26-35,Research & Development,Laboratory Technician,Male,Divorced,No,3408,4,1,3,1,4,1,8,1,Travel_Rarely,Yes,1,3,At-Risk Mid-Level
30,26-35,Sales,Sales Representative,Male,Single,No,2983,2,4,3,3,3,1,4,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
35,26-35,Research & Development,Healthcare Representative,Male,Married,Yes,7632,3,4,3,3,8,0,10,3,Travel_Rarely,No,0,2,Burnt-Out & Overworked
31,26-35,Research & Development,Healthcare Representative,Male,Married,No,9824,3,1,3,3,1,0,12,3,Travel_Frequently,Yes,1,1,Loyal Mid-Career
34,26-35,Human Resources,Human Resources,Female,Divorced,Yes,9950,1,2,3,3,3,0,11,3,Travel_Frequently,Yes,1,2,Burnt-Out & Overworked
42,36-45,Research & Development,Laboratory Technician,Male,Married,No,2093,3,2,3,3,2,2,8,1,Travel_Frequently,No,0,3,At-Risk Mid-Level
36,36-45,Sales,Sales Executive,Male,Single,No,9980,4,2,2,3,10,9,10,3,Non-Travel,No,0,1,Loyal Mid-Career
22,18-25,Research & Development,Laboratory Technician,Male,Single,No,3894,3,3,3,2,2,1,4,1,Travel_Frequently,Yes,1,3,At-Risk Mid-Level
48,46-55,Sales,Sales Executive,Female,Married,No,4051,4,2,3,3,9,6,14,2,Travel_Rarely,No,0,1,Loyal Mid-Career
55,46-55,Sales,Manager,Female,Single,No,16835,2,1,3,3,10,7,37,4,Travel_Rarely,No,0,0,Stable Senior
41,36-45,Sales,Sales Executive,Male,Single,No,6230,4,4,3,3,14,1,16,2,Non-Travel,No,0,1,Loyal Mid-Career
35,26-35,Sales,Sales Executive,Male,Married,No,4717,3,2,3,3,11,6,15,2,Travel_Rarely,No,0,1,Loyal Mid-Career
40,36-45,Research & Development,Manufacturing Director,Female,Single,No,13237,3,2,3,3,20,5,22,4,Travel_Rarely,No,0,0,Stable Senior
39,36-45,Research & Development,Laboratory Technician,Female,Married,No,3755,3,3,3,3,8,0,8,1,Travel_Frequently,No,0,3,At-Risk Mid-Level
31,26-35,Sales,Sales Executive,Male,Single,Yes,6582,4,2,4,3,6,0,10,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
42,36-45,Research & Development,Manufacturing Director,Male,Married,Yes,7406,1,4,2,3,10,5,10,3,Travel_Rarely,No,0,2,Burnt-Out & Overworked
45,36-45,Sales,Sales Executive,Male,Married,No,4805,2,4,4,3,8,3,9,2,Travel_Rarely,No,0,1,Loyal Mid-Career
26,26-35,Human Resources,Human Resources,Female,Divorced,Yes,2741,3,2,2,3,7,1,8,1,Travel_Frequently,Yes,1,2,Burnt-Out & Overworked
29,26-35,Research & Development,Manufacturing Director,Male,Divorced,No,4262,4,4,4,3,3,1,8,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
33,26-35,Research & Development,Research Director,Female,Divorced,No,16184,3,1,3,4,6,0,10,4,Travel_Rarely,No,0,1,Loyal Mid-Career
31,26-35,Sales,Manager,Male,Divorced,No,11557,4,3,2,2,5,0,10,3,Travel_Rarely,No,0,1,Loyal Mid-Career
18,,Sales,Sales Representative,Male,Single,Yes,1878,2,2,3,3,0,0,0,1,Travel_Frequently,Yes,1,2,Burnt-Out & Overworked
40,36-45,Sales,Sales Executive,Male,Divorced,No,10932,1,3,3,1,1,0,20,3,Non-Travel,No,0,1,Loyal Mid-Career
41,36-45,Research & Development,Healthcare Representative,Female,Single,Yes,6811,3,1,3,2,8,0,10,2,Non-Travel,No,0,2,Burnt-Out & Overworked
26,26-35,Sales,Sales Executive,Male,Divorced,No,4306,3,1,3,3,0,0,8,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
35,26-35,Sales,Sales Executive,Female,Single,No,4859,3,1,3,3,5,0,5,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
34,26-35,Sales,Sales Executive,Male,Single,No,5337,4,4,3,4,10,5,10,2,Travel_Rarely,No,0,1,Loyal Mid-Career
26,26-35,Research & Development,Laboratory Technician,Male,Single,Yes,2340,4,3,1,1,1,0,1,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
37,36-45,Research & Development,Manufacturing Director,Female,Single,No,7491,4,2,4,3,6,1,12,3,Travel_Rarely,No,0,1,Loyal Mid-Career
46,46-55,Research & Development,Healthcare Representative,Female,Married,No,10527,3,1,2,3,2,1,28,3,Travel_Frequently,No,0,1,Loyal Mid-Career
41,36-45,Sales,Manager,Female,Married,No,16595,1,2,3,3,18,11,22,4,Travel_Rarely,No,0,0,Stable Senior
37,36-45,Sales,Sales Executive,Male,Divorced,No,8834,2,1,3,3,9,7,9,3,Non-Travel,No,0,1,Loyal Mid-Career
52,46-55,Research & Development,Research Scientist,Male,Divorced,Yes,5577,1,4,3,3,10,6,18,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
32,26-35,Sales,Sales Executive,Male,Married,No,4707,3,4,3,4,4,1,6,2,Non-Travel,Yes,1,3,At-Risk Mid-Level
24,18-25,Sales,Sales Representative,Male,Married,No,2400,4,4,3,3,2,2,3,1,Travel_Frequently,No,0,3,At-Risk Mid-Level
38,36-45,Research & Development,Healthcare Representative,Female,Married,No,9824,3,3,3,3,1,0,18,2,Travel_Rarely,No,0,1,Loyal Mid-Career
37,36-45,Research & Development,Manufacturing Director,Female,Married,No,6447,2,2,2,3,6,4,8,2,Travel_Rarely,No,0,1,Loyal Mid-Career
49,46-55,Research & Development,Research Director,Male,Divorced,Yes,19502,3,4,3,2,31,0,31,5,Travel_Rarely,No,0,0,Stable Senior
24,18-25,Research & Development,Research Scientist,Male,Married,Yes,2725,4,2,3,4,6,1,6,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
26,26-35,Sales,Sales Executive,Male,Married,No,6272,2,1,4,3,5,1,6,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
24,18-25,Research & Development,Laboratory Technician,Male,Married,No,2127,2,4,3,2,1,0,1,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
50,46-55,Human Resources,Manager,Male,Married,No,18200,2,1,3,3,32,10,32,5,Travel_Frequently,No,0,0,Stable Senior
25,18-25,Sales,Sales Representative,Male,Married,No,2096,3,2,3,3,7,0,7,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
24,18-25,Research & Development,Laboratory Technician,Female,Married,Yes,2886,3,1,3,3,6,1,6,1,Travel_Frequently,Yes,1,2,Burnt-Out & Overworked
30,26-35,Sales,Sales Representative,Male,Married,No,2033,1,2,4,2,1,0,1,1,Travel_Frequently,Yes,1,3,At-Risk Mid-Level
34,26-35,Research & Development,Research Scientist,Male,Married,Yes,3622,4,2,3,2,6,1,6,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
31,26-35,Sales,Sales Executive,Male,Divorced,No,4233,1,2,1,3,3,1,9,2,Travel_Rarely,Yes,1,3,At-Risk Mid-Level
35,26-35,Research & Development,Laboratory Technician,Male,Single,No,3681,4,1,3,2,3,0,9,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
31,26-35,Sales,Sales Executive,Male,Divorced,No,5460,4,1,4,4,7,5,13,2,Travel_Rarely,No,0,1,Loyal Mid-Career
27,26-35,Research & Development,Research Scientist,Female,Divorced,No,2187,3,1,2,2,5,0,6,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
37,36-45,Sales,Sales Executive,Male,Married,Yes,9602,3,4,2,3,3,1,17,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
20,18-25,Research & Development,Research Scientist,Female,Single,No,2836,2,4,4,2,1,0,1,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
42,36-45,Research & Development,Healthcare Representative,Female,Married,No,4089,4,3,3,3,10,2,10,2,Travel_Rarely,No,0,1,Loyal Mid-Career
43,36-45,Research & Development,Research Director,Male,Divorced,Yes,16627,4,2,2,2,1,0,21,4,Travel_Rarely,No,0,0,Stable Senior
38,36-45,Research & Development,Research Scientist,Female,Single,No,2619,1,3,2,3,0,0,8,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
43,36-45,Research & Development,Laboratory Technician,Male,Divorced,Yes,5679,3,4,3,3,8,4,10,2,Travel_Frequently,No,0,2,Burnt-Out & Overworked
48,46-55,Research & Development,Manager,Female,Married,No,15402,1,4,1,2,3,0,21,4,Travel_Rarely,No,0,0,Stable Senior
44,36-45,Human Resources,Human Resources,Female,Single,No,5985,3,1,4,2,2,0,10,2,Travel_Rarely,No,0,1,Loyal Mid-Career
34,26-35,Sales,Sales Representative,Female,Divorced,Yes,2579,3,3,3,3,8,0,8,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
27,26-35,Sales,Sales Representative,Male,Divorced,No,3041,1,3,3,3,4,0,5,1,Travel_Rarely,Yes,1,3,At-Risk Mid-Level
21,18-25,Sales,Sales Representative,Male,Single,No,3447,3,3,3,3,3,1,3,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
44,36-45,Research & Development,Manager,Male,Married,Yes,19513,4,4,4,3,2,0,26,5,Travel_Rarely,No,0,0,Stable Senior
22,18-25,Research & Development,Research Scientist,Male,Married,No,2773,3,1,3,3,2,2,3,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
33,26-35,Sales,Sales Executive,Male,Divorced,No,7104,3,3,3,3,5,1,6,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
32,26-35,Research & Development,Research Scientist,Female,Married,Yes,6322,4,1,2,3,6,0,6,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
30,26-35,Research & Development,Research Scientist,Female,Divorced,No,2083,3,3,3,3,1,0,1,1,Travel_Frequently,No,0,3,At-Risk Mid-Level
53,46-55,Sales,Sales Executive,Female,Single,No,8381,1,4,4,3,14,8,18,2,Travel_Rarely,No,0,1,Loyal Mid-Career
34,26-35,Research & Development,Research Scientist,Male,Married,No,2691,4,2,2,3,10,8,10,1,Travel_Rarely,No,0,1,Loyal Mid-Career
45,36-45,Sales,Sales Executive,Female,Married,No,4286,1,1,3,3,1,0,5,2,Travel_Frequently,Yes,1,3,At-Risk Mid-Level
26,26-35,Research & Development,Laboratory Technician,Female,Married,Yes,2659,4,3,3,3,3,0,3,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
37,36-45,Research & Development,Manufacturing Director,Male,Married,No,9434,3,3,3,3,10,7,10,3,Travel_Rarely,No,0,1,Loyal Mid-Career
29,26-35,Sales,Sales Executive,Female,Married,No,5561,3,2,2,3,6,1,6,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
35,26-35,Research & Development,Research Scientist,Male,Single,No,6646,4,2,3,1,17,11,17,2,Travel_Rarely,No,0,1,Loyal Mid-Career
33,26-35,Research & Development,Healthcare Representative,Male,Divorced,No,7725,4,3,1,3,13,4,15,2,Travel_Frequently,No,0,1,Loyal Mid-Career
54,46-55,Human Resources,Human Resources,Male,Married,No,10725,2,3,4,3,9,7,16,3,Travel_Rarely,No,0,1,Loyal Mid-Career
36,36-45,Research & Development,Manufacturing Director,Male,Divorced,Yes,8847,2,2,3,2,3,0,13,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
27,26-35,Research & Development,Research Scientist,Male,Single,No,2045,4,1,3,2,4,1,5,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
20,18-25,Research & Development,Research Scientist,Male,Single,Yes,1009,3,4,3,3,1,1,1,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
33,26-35,Research & Development,Research Scientist,Male,Single,Yes,3348,1,1,3,3,10,9,10,1,Travel_Frequently,Yes,1,2,Burnt-Out & Overworked
35,26-35,Research & Development,Laboratory Technician,Male,Married,No,1281,3,3,3,2,1,0,1,1,Non-Travel,No,0,3,At-Risk Mid-Level
23,18-25,Research & Development,Research Scientist,Male,Married,No,2819,1,1,4,4,3,0,5,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
25,18-25,Sales,Sales Executive,Male,Married,No,4851,2,4,3,4,3,1,4,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
38,36-45,Sales,Sales Executive,Female,Single,No,4028,4,4,3,2,7,0,8,2,Travel_Rarely,No,0,1,Loyal Mid-Career
29,26-35,Research & Development,Research Scientist,Male,Divorced,No,2720,4,2,3,1,10,2,10,1,Travel_Frequently,No,0,3,At-Risk Mid-Level
48,46-55,Sales,Sales Executive,Male,Married,No,8120,2,2,3,4,2,2,12,2,Travel_Rarely,No,0,1,Loyal Mid-Career
27,26-35,Sales,Sales Executive,Female,Divorced,Yes,4647,4,4,3,4,6,0,6,2,Travel_Frequently,No,0,2,Burnt-Out & Overworked
37,36-45,Research & Development,Research Scientist,Male,Single,No,4680,4,4,3,4,1,0,4,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
50,46-55,Research & Development,Laboratory Technician,Male,Married,Yes,3221,3,4,3,4,20,3,20,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
34,26-35,Research & Development,Healthcare Representative,Female,Single,No,8621,2,4,4,2,8,7,9,3,Travel_Rarely,No,0,1,Loyal Mid-Career
24,18-25,Sales,Sales Executive,Female,Single,No,4577,3,1,3,3,2,2,4,2,Travel_Rarely,Yes,1,3,At-Risk Mid-Level
39,36-45,Research & Development,Healthcare Representative,Female,Single,No,4553,3,4,3,2,20,11,20,2,Travel_Rarely,No,0,1,Loyal Mid-Career
32,26-35,Sales,Sales Executive,Male,Single,No,5396,4,4,2,3,10,0,10,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
50,46-55,Sales,Sales Executive,Male,Married,Yes,6796,3,2,3,3,4,1,18,2,Travel_Frequently,Yes,1,2,Burnt-Out & Overworked
38,36-45,Research & Development,Healthcare Representative,Female,Single,No,7625,4,2,2,4,9,1,10,2,Travel_Rarely,No,0,1,Loyal Mid-Career
27,26-35,Research & Development,Manufacturing Director,Female,Married,No,7412,1,3,3,3,9,0,9,3,Travel_Rarely,No,0,1,Loyal Mid-Career
32,26-35,Research & Development,Research Director,Female,Single,No,11159,4,3,3,3,7,7,10,3,Travel_Rarely,No,0,1,Loyal Mid-Career
47,46-55,Sales,Sales Executive,Male,Single,No,4960,1,4,3,3,7,1,20,2,Travel_Rarely,No,0,1,Loyal Mid-Career
40,36-45,Sales,Sales Executive,Male,Married,Yes,10475,1,4,3,2,18,1,20,3,Travel_Frequently,No,0,0,Stable Senior
53,46-55,Research & Development,Research Director,Male,Married,No,14814,3,3,3,4,5,1,32,4,Travel_Rarely,No,0,0,Stable Senior
41,36-45,Human Resources,Manager,Male,Divorced,No,19141,4,2,2,2,21,12,23,5,Travel_Rarely,No,0,0,Stable Senior
60,56-65,Sales,Sales Executive,Male,Single,No,5405,1,1,3,3,2,2,10,2,Travel_Rarely,No,0,1,Loyal Mid-Career
27,26-35,Research & Development,Manufacturing Director,Male,Divorced,No,8793,1,4,2,3,9,1,9,3,Travel_Frequently,No,0,3,At-Risk Mid-Level
41,36-45,Human Resources,Manager,Male,Married,No,19189,3,4,3,2,22,2,22,5,Travel_Rarely,No,0,0,Stable Senior
50,46-55,Sales,Sales Representative,Male,Married,No,3875,2,4,3,3,2,2,4,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
28,26-35,Research & Development,Research Scientist,Female,Single,Yes,2216,2,1,3,1,7,3,10,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
36,36-45,Research & Development,Research Director,Female,Married,No,11713,1,1,3,4,8,0,10,3,Non-Travel,No,0,1,Loyal Mid-Career
38,36-45,Research & Development,Manufacturing Director,Female,Single,Yes,7861,3,3,4,3,1,0,10,3,Travel_Rarely,No,0,2,Burnt-Out & Overworked
44,36-45,Research & Development,Laboratory Technician,Male,Single,No,3708,3,1,3,1,5,1,9,1,Non-Travel,No,0,3,At-Risk Mid-Level
47,46-55,Sales,Sales Executive,Female,Divorced,Yes,13770,3,4,2,3,22,11,28,4,Travel_Frequently,No,0,0,Stable Senior
30,26-35,Sales,Sales Executive,Male,Divorced,No,5304,4,3,2,3,8,7,10,2,Travel_Rarely,No,0,1,Loyal Mid-Career
29,26-35,Sales,Sales Representative,Male,Single,No,2642,3,3,3,3,1,0,1,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
42,36-45,Research & Development,Research Scientist,Male,Divorced,Yes,2759,3,3,3,4,2,2,7,1,Travel_Frequently,Yes,1,2,Burnt-Out & Overworked
